Port Name,Administrative Approach Rank,"Total
Points",Statistic Approach Rank,IndeX Value,Economy Label,Year,Period,Period Label,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
JACKSONVILLE,100,44.256,94,17.677,United States of America,2021,2021S01,S1   2021,S,Semi-annual,842.0,3.0,Container ships,1.2069,,15.0,,61561.0,,228741.0,,,,,,5503.0,,21237.0,
NANTES SAINT-NAZAIRE,105,41.619,104,16.047,France,2021,2021S01,S1   2021,S,Semi-annual,251.0,3.0,Container ships,0.9333,,14.0,,55795.0,,237200.0,,,,,,5051.0,,23964.0,
POINTE-À-PITRE,109,40.162,107,15.702,France,2021,2021S01,S1   2021,S,Semi-annual,251.0,3.0,Container ships,0.9333,,14.0,,55795.0,,237200.0,,,,,,5051.0,,23964.0,
PORT EVERGLADES,116,33.709,102,16.769,United States of America,2021,2021S01,S1   2021,S,Semi-annual,842.0,3.0,Container ships,1.2069,,15.0,,61561.0,,228741.0,,,,,,5503.0,,21237.0,
BOSTON (United States of America),117,33.384,115,13.428,United States of America,2021,2021S01,S1   2021,S,Semi-annual,842.0,3.0,Container ships,1.2069,,15.0,,61561.0,,228741.0,,,,,,5503.0,,21237.0,
HOUSTON,119,32.044,123,10.771,United States of America,2021,2021S01,S1   2021,S,Semi-annual,842.0,3.0,Container ships,1.2069,,15.0,,61561.0,,228741.0,,,,,,5503.0,,21237.0,
FORT-DE-FRANCE,122,28.535,127,10.42,France,2021,2021S01,S1   2021,S,Semi-annual,251.0,3.0,Container ships,0.9333,,14.0,,55795.0,,237200.0,,,,,,5051.0,,23964.0,
CHARLESTON,130,26.183,187,4.399,United States of America,2021,2021S01,S1   2021,S,Semi-annual,842.0,3.0,Container ships,1.2069,,15.0,,61561.0,,228741.0,,,,,,5503.0,,21237.0,
VALENCIA,135,23.809,180,4.685,Spain,2021,2021S01,S1   2021,S,Semi-annual,724.0,3.0,Container ships,0.6451,,15.0,,32598.0,,237200.0,,,,,,3004.0,,23756.0,
MALAGA,137,22.325,140,8.27,Spain,2021,2021S01,S1   2021,S,Semi-annual,724.0,3.0,Container ships,0.6451,,15.0,,32598.0,,237200.0,,,,,,3004.0,,23756.0,
DA CHAN BAY TERMINAL ONE,142,20.563,122,10.951,China,2021,2021S01,S1   2021,S,Semi-annual,156.0,3.0,Container ships,0.6806,,13.0,,46935.0,,237200.0,,,,,,4372.0,,23964.0,
VIGO,149,18.234,138,8.62,Spain,2021,2021S01,S1   2021,S,Semi-annual,724.0,3.0,Container ships,0.6451,,15.0,,32598.0,,237200.0,,,,,,3004.0,,23756.0,
TANJUNG EMAS,153,17.284,144,7.855,Indonesia,2021,2021S01,S1   2021,S,Semi-annual,360.0,3.0,Container ships,1.0451,,15.0,,14248.0,,75579.0,,,,,,1294.0,,6921.0,
TARRAGONA,160,15.948,157,6.501,Spain,2021,2021S01,S1   2021,S,Semi-annual,724.0,3.0,Container ships,0.6451,,15.0,,32598.0,,237200.0,,,,,,3004.0,,23756.0,
CIVITAVECCHIA,162,15.62,161,6.047,Italy,2021,2021S01,S1   2021,S,Semi-annual,380.0,3.0,Container ships,0.9319,,17.0,,40644.0,,232618.0,,,,,,3729.0,,23756.0,
MOBILE,163,15.366,150,7.384,United States of America,2021,2021S01,S1   2021,S,Semi-annual,842.0,3.0,Container ships,1.2069,,15.0,,61561.0,,228741.0,,,,,,5503.0,,21237.0,
SAN VICENTE,166,14.418,162,6.011,United States of America,2021,2021S01,S1   2021,S,Semi-annual,842.0,3.0,Container ships,1.2069,,15.0,,61561.0,,228741.0,,,,,,5503.0,,21237.0,
NORRKOPING,182,11.336,184,4.593,Sweden,2021,2021S01,S1   2021,S,Semi-annual,752.0,3.0,Container ships,0.6149,,16.0,,17076.0,,214286.0,,,,,,1581.0,,19630.0,
RAVENNA,187,10.047,188,4.056,Italy,2021,2021S01,S1   2021,S,Semi-annual,380.0,3.0,Container ships,0.9319,,17.0,,40644.0,,232618.0,,,,,,3729.0,,23756.0,
CATANIA,191,9.365,193,3.579,Italy,2021,2021S01,S1   2021,S,Semi-annual,380.0,3.0,Container ships,0.9319,,17.0,,40644.0,,232618.0,,,,,,3729.0,,23756.0,
BARI,193,9.166,194,3.49,Italy,2021,2021S01,S1   2021,S,Semi-annual,380.0,3.0,Container ships,0.9319,,17.0,,40644.0,,232618.0,,,,,,3729.0,,23756.0,
GUSTAVIA,197,8.136,190,3.96,France,2021,2021S01,S1   2021,S,Semi-annual,251.0,3.0,Container ships,0.9333,,14.0,,55795.0,,237200.0,,,,,,5051.0,,23964.0,
LARVIK,210,4.325,206,2.153,Norway,2021,2021S01,S1   2021,S,Semi-annual,579.0,3.0,Container ships,0.3493,,16.0,,8941.0,,37071.0,,,,,,840.0,,2668.0,
KAWASAKI,211,4.222,249,-1.752,Japan,2021,2021S01,S1   2021,S,Semi-annual,392.0,3.0,Container ships,0.3562,,13.0,,16418.0,,228741.0,,,,,,1571.0,,21237.0,
TRAPANI,213,3.98,209,1.804,Italy,2021,2021S01,S1   2021,S,Semi-annual,380.0,3.0,Container ships,0.9319,,17.0,,40644.0,,232618.0,,,,,,3729.0,,23756.0,
HERAKLION,216,3.267,212,1.578,Greece,2021,2021S01,S1   2021,S,Semi-annual,300.0,3.0,Container ships,1.0184,,16.0,,45223.0,,219688.0,,,,,,4241.0,,21413.0,
CADIZ,221,2.588,217,1.288,Spain,2021,2021S01,S1   2021,S,Semi-annual,724.0,3.0,Container ships,0.6451,,15.0,,32598.0,,237200.0,,,,,,3004.0,,23756.0,
BORDEAUX,228,1.158,223,0.626,France,2021,2021S01,S1   2021,S,Semi-annual,251.0,3.0,Container ships,0.9333,,14.0,,55795.0,,237200.0,,,,,,5051.0,,23964.0,
ALICANTE,229,1.007,222,0.745,Spain,2021,2021S01,S1   2021,S,Semi-annual,724.0,3.0,Container ships,0.6451,,15.0,,32598.0,,237200.0,,,,,,3004.0,,23756.0,
HAMBURG,232,0.185,258,-3.518,Germany,2021,2021S01,S1   2021,S,Semi-annual,276.0,3.0,Container ships,1.0833,,14.0,,49446.0,,237200.0,,,,,,4465.0,,23964.0,
WILHELMSHAVEN,233,-0.02,204,2.236,Germany,2021,2021S01,S1   2021,S,Semi-annual,276.0,3.0,Container ships,1.0833,,14.0,,49446.0,,237200.0,,,,,,4465.0,,23964.0,
SAINT JOHN,240,-1.73,235,-0.325,Canada,2021,2021S01,S1   2021,S,Semi-annual,124.0,3.0,Container ships,1.8233,,15.0,,58770.0,,176546.0,,,,,,5325.0,,16020.0,
NEW YORK AND NEW JERSEY,251,-4.321,251,-2.159,United States of America,2021,2021S01,S1   2021,S,Semi-annual,842.0,3.0,Container ships,1.2069,,15.0,,61561.0,,228741.0,,,,,,5503.0,,21237.0,
GAVLE,252,-4.762,256,-3.18,Sweden,2021,2021S01,S1   2021,S,Semi-annual,752.0,3.0,Container ships,0.6149,,16.0,,17076.0,,214286.0,,,,,,1581.0,,19630.0,
ADELAIDE,264,-9.863,257,-3.425,Australia,2021,2021S01,S1   2021,S,Semi-annual,36.0,3.0,Container ships,1.4583,,14.0,,52245.0,,109712.0,,,,,,4728.0,,9572.0,
HUENEME,269,-12.006,274,-6.11,United States of America,2021,2021S01,S1   2021,S,Semi-annual,842.0,3.0,Container ships,1.2069,,15.0,,61561.0,,228741.0,,,,,,5503.0,,21237.0,
NAPLES,283,-19.737,267,-5.039,Italy,2021,2021S01,S1   2021,S,Semi-annual,380.0,3.0,Container ships,0.9319,,17.0,,40644.0,,232618.0,,,,,,3729.0,,23756.0,
PORT VICTORIA,289,-25.449,298,-12.337,United States of America,2021,2021S01,S1   2021,S,Semi-annual,842.0,3.0,Container ships,1.2069,,15.0,,61561.0,,228741.0,,,,,,5503.0,,21237.0,
LE HAVRE,292,-26.886,286,-9.533,France,2021,2021S01,S1   2021,S,Semi-annual,251.0,3.0,Container ships,0.9333,,14.0,,55795.0,,237200.0,,,,,,5051.0,,23964.0,
MAYOTTE,294,-27.444,293,-11.873,France,2021,2021S01,S1   2021,S,Semi-annual,251.0,3.0,Container ships,0.9333,,14.0,,55795.0,,237200.0,,,,,,5051.0,,23964.0,
MELBOURNE,308,-37.421,294,-11.938,Australia,2021,2021S01,S1   2021,S,Semi-annual,36.0,3.0,Container ships,1.4583,,14.0,,52245.0,,109712.0,,,,,,4728.0,,9572.0,
MONTREAL,311,-39.809,313,-20.272,Canada,2021,2021S01,S1   2021,S,Semi-annual,124.0,3.0,Container ships,1.8233,,15.0,,58770.0,,176546.0,,,,,,5325.0,,16020.0,
LA SPEZIA,313,-47.346,309,-18.987,Italy,2021,2021S01,S1   2021,S,Semi-annual,380.0,3.0,Container ships,0.9319,,17.0,,40644.0,,232618.0,,,,,,3729.0,,23756.0,
MARSEILLE,315,-49.482,297,-12.209,France,2021,2021S01,S1   2021,S,Semi-annual,251.0,3.0,Container ships,0.9333,,14.0,,55795.0,,237200.0,,,,,,5051.0,,23964.0,
SHANGHAI,316,-51.827,318,-24.039,China,2021,2021S01,S1   2021,S,Semi-annual,156.0,3.0,Container ships,0.6806,,13.0,,46935.0,,237200.0,,,,,,4372.0,,23964.0,
LIVERPOOL (UNITED KINGDOM),322,-58.778,325,-29.027,United Kingdom,2021,2021S01,S1   2021,S,Semi-annual,926.0,3.0,Container ships,0.8035,,16.0,,34429.0,,236583.0,,,,,,3162.0,,23964.0,
PORT RÉUNION,333,-85.474,331,-33.187,France,2021,2021S01,S1   2021,S,Semi-annual,251.0,3.0,Container ships,0.9333,,14.0,,55795.0,,237200.0,,,,,,5051.0,,23964.0,
FELIXSTOWE,334,-86.502,336,-40.078,United Kingdom,2021,2021S01,S1   2021,S,Semi-annual,926.0,3.0,Container ships,0.8035,,16.0,,34429.0,,236583.0,,,,,,3162.0,,23964.0,
TACOMA,345,-119.152,341,-45.529,United States of America,2021,2021S01,S1   2021,S,Semi-annual,842.0,3.0,Container ships,1.2069,,15.0,,61561.0,,228741.0,,,,,,5503.0,,21237.0,
SAVANNAH,367,-464.721,367,-217.103,United States of America,2021,2021S01,S1   2021,S,Semi-annual,842.0,3.0,Container ships,1.2069,,15.0,,61561.0,,228741.0,,,,,,5503.0,,21237.0,
LONG BEACH,369,-952.47,370,-348.928,United States of America,2021,2021S01,S1   2021,S,Semi-annual,842.0,3.0,Container ships,1.2069,,15.0,,61561.0,,228741.0,,,,,,5503.0,,21237.0,
